WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00000002	aat-1	F27C8.1	ENSG00000092068;ENSG00000103064;ENSG00000103257;ENSG00000155465;ENSG00000130876;ENSG00000021488	SLC7A8;SLC7A6;SLC7A5;SLC7A7;SLC7A10;SLC7A9	Lysinuric protein intolerance, 222700;;Cystinuria, 220100
WBGene00000003	aat-2	F07C3.7	ENSG00000155465;ENSG00000092068;ENSG00000103064;ENSG00000103257;ENSG00000130876;ENSG00000021488	SLC7A7;SLC7A8;SLC7A6;SLC7A5;SLC7A10;SLC7A9	Lysinuric protein intolerance, 222700;;;;;Cystinuria, 220100
WBGene00000004	aat-3	F52H2.2	ENSG00000092068;ENSG00000103064;ENSG00000103257;ENSG00000155465;ENSG00000130876;ENSG00000021488	SLC7A8;SLC7A6;SLC7A5;SLC7A7;SLC7A10;SLC7A9	Lysinuric protein intolerance, 222700;;Cystinuria, 220100
WBGene00000018	abl-1	M79.1	ENSG00000097007;ENSG00000143322	ABL1;ABL2	Congenital heart defects and skeletal malformations syndrome, 617602|Leukemia, Philadelphia chromosome-positive, resistant to imatinib;Leukemia, acute myeloid, with eosinophilia
WBGene00000020	abt-2	F12B6.1	ENSG00000165029;ENSG00000064687;ENSG00000144452;ENSG00000179869;ENSG00000198691;ENSG00000107331;ENSG00000141338;ENSG00000154258;ENSG00000154262;ENSG00000154263;ENSG00000154265;ENSG00000167972	ABCA1;ABCA7;ABCA12;ABCA13;ABCA4;ABCA2;ABCA8;ABCA9;ABCA6;ABCA10;ABCA5;ABCA3	Coronary artery disease in familial hypercholesterolemia, protection against, 143890|HDL deficiency, type 2, 604091|Tangier disease, 205400;Alzheimer disease 9, susceptibility to, 608907;Ichthyosis, congenital, autosomal recessive 4A, 601277|Ichthyosis, congenital, autosomal recessive 4B (harlequin), 242500;;Cone-rod dystrophy 3, 604116|Fundus flavimaculatus, 248200|Macular degeneration, age-related, 2, 153800|Retinal dystrophy, early-onset severe, 248200|Retinitis pigmentosa 19, 601718|Stargardt disease 1, 248200;;;;;;;Surfactant metabolism dysfunction, pulmonary, 3, 610921
WBGene00000022	abt-4	Y39D8C.1	ENSG00000167972;ENSG00000141338;ENSG00000154258;ENSG00000154262;ENSG00000154263;ENSG00000154265;ENSG00000064687;ENSG00000107331;ENSG00000144452;ENSG00000165029;ENSG00000179869;ENSG00000198691	ABCA3;ABCA8;ABCA9;ABCA6;ABCA10;ABCA5;ABCA7;ABCA2;ABCA12;ABCA1;ABCA13;ABCA4	Surfactant metabolism dysfunction, pulmonary, 3, 610921;;;;;;Alzheimer disease 9, susceptibility to, 608907;;Ichthyosis, congenital, autosomal recessive 4A, 601277|Ichthyosis, congenital, autosomal recessive 4B (harlequin), 242500;Coronary artery disease in familial hypercholesterolemia, protection against, 143890|HDL deficiency, type 2, 604091|Tangier disease, 205400;;Cone-rod dystrophy 3, 604116|Fundus flavimaculatus, 248200|Macular degeneration, age-related, 2, 153800|Retinal dystrophy, early-onset severe, 248200|Retinitis pigmentosa 19, 601718|Stargardt disease 1, 248200
WBGene00000023	abt-5	Y53C10A.9	ENSG00000154263;ENSG00000141338;ENSG00000154258;ENSG00000154262;ENSG00000154265;ENSG00000064687;ENSG00000107331;ENSG00000144452;ENSG00000165029;ENSG00000179869;ENSG00000198691;ENSG00000167972	ABCA10;ABCA8;ABCA9;ABCA6;ABCA5;ABCA7;ABCA2;ABCA12;ABCA1;ABCA13;ABCA4;ABCA3	Alzheimer disease 9, susceptibility to, 608907;;Ichthyosis, congenital, autosomal recessive 4A, 601277|Ichthyosis, congenital, autosomal recessive 4B (harlequin), 242500;Coronary artery disease in familial hypercholesterolemia, protection against, 143890|HDL deficiency, type 2, 604091|Tangier disease, 205400;;Cone-rod dystrophy 3, 604116|Fundus flavimaculatus, 248200|Macular degeneration, age-related, 2, 153800|Retinal dystrophy, early-onset severe, 248200|Retinitis pigmentosa 19, 601718|Stargardt disease 1, 248200;Surfactant metabolism dysfunction, pulmonary, 3, 610921
WBGene00000024	abu-1	AC3.3	ENSG00000188155;ENSG00000215454;ENSG00000221837;ENSG00000241123;ENSG00000243489	KRTAP10-6;KRTAP10-4;KRTAP10-9;KRTAP10-5;KRTAP10-11	
WBGene00000026	abu-3	F31A3.1	ENSG00000221859	KRTAP10-10	
WBGene00000028	abu-5	Y105C5A.4	ENSG00000188155;ENSG00000215454;ENSG00000221837;ENSG00000241123;ENSG00000243489	KRTAP10-6;KRTAP10-4;KRTAP10-9;KRTAP10-5;KRTAP10-11	
WBGene00000029	abu-6	C03A7.7	ENSG00000240542	KRTAP9-1	
WBGene00000033	abu-10	F35A5.3	ENSG00000272804	KRTAP10-7	
WBGene00000035	ace-1	W09B12.1	ENSG00000087085;ENSG00000114200	ACHE;BCHE	Blood group, Yt system, 112100;Apnea, postanesthetic
WBGene00000036	ace-2	Y44E3A.2	ENSG00000114200;ENSG00000087085	BCHE;ACHE	Apnea, postanesthetic;Blood group, Yt system, 112100
WBGene00000037	ace-3	Y48B6A.8	ENSG00000087085;ENSG00000114200	ACHE;BCHE	Blood group, Yt system, 112100;Apnea, postanesthetic
WBGene00000038	ace-4	Y48B6A.7	ENSG00000087085;ENSG00000114200	ACHE;BCHE	Blood group, Yt system, 112100;Apnea, postanesthetic
WBGene00000039	acn-1	C42D8.5	ENSG00000130234;ENSG00000159640;ENSG00000264813;ENSG00000147003	ACE2;ACE;;TMEM27	Angiotensin I-converting enzyme, benign serum increase|Microvascular complications of diabetes 3, 612624|Myocardial infarction, susceptibility to|Renal tubular dysgenesis, 267430|SARS, progression of|Stroke, hemorrhagic, 614519;;
WBGene00000040	aco-1	ZK455.1	ENSG00000122729;ENSG00000136381;ENSG00000100412	ACO1;IREB2;ACO2	Infantile cerebellar-retinal degeneration, 614559|Optic atrophy 9, 616289
WBGene00000041	aco-2	F54H12.1	ENSG00000100412;ENSG00000122729;ENSG00000136381	ACO2;ACO1;IREB2	Infantile cerebellar-retinal degeneration, 614559|Optic atrophy 9, 616289;;
WBGene00000042	acr-2	K11G12.2	ENSG00000080644;ENSG00000101204;ENSG00000108556;ENSG00000117971;ENSG00000120903;ENSG00000135902;ENSG00000138435;ENSG00000147432;ENSG00000147434;ENSG00000160716;ENSG00000169684;ENSG00000170175;ENSG00000196811	CHRNA3;CHRNA4;CHRNE;CHRNB4;CHRNA2;CHRND;CHRNA1;CHRNB3;CHRNA6;CHRNB2;CHRNA5;CHRNB1;CHRNG	Lung cancer susceptibility 2, 612052;Epilepsy, nocturnal frontal lobe, 1, 600513|Nicotine addiction, susceptibility to, 188890;Myasthenic syndrome, congenital, 4A, slow-channel, 605809|Myasthenic syndrome, congenital, 4B, fast-channel, 616324|Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931;;Epilepsy, nocturnal frontal lobe, type 4, 610353;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 3A, slow-channel, 616321|Myasthenic syndrome, congenital, 3B, fast-channel, 616322|Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 1A, slow-channel, 601462|Myasthenic syndrome, congenital, 1B, fast-channel, 608930;;;Epilepsy, nocturnal frontal lobe, 3, 605375;Lung cancer susceptibility 2, 612052|Nicotine dependence, susceptibility to, 612052;Myasthenic syndrome, congenital, 2A, slow-channel, 616313|Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314;Escobar syndrome, 265000|Multiple pterygium syndrome, lethal type, 253290
WBGene00000043	acr-3	K11G12.7	ENSG00000080644;ENSG00000101204;ENSG00000108556;ENSG00000117971;ENSG00000120903;ENSG00000135902;ENSG00000138435;ENSG00000147432;ENSG00000147434;ENSG00000160716;ENSG00000169684;ENSG00000170175;ENSG00000196811	CHRNA3;CHRNA4;CHRNE;CHRNB4;CHRNA2;CHRND;CHRNA1;CHRNB3;CHRNA6;CHRNB2;CHRNA5;CHRNB1;CHRNG	Lung cancer susceptibility 2, 612052;Epilepsy, nocturnal frontal lobe, 1, 600513|Nicotine addiction, susceptibility to, 188890;Myasthenic syndrome, congenital, 4A, slow-channel, 605809|Myasthenic syndrome, congenital, 4B, fast-channel, 616324|Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931;;Epilepsy, nocturnal frontal lobe, type 4, 610353;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 3A, slow-channel, 616321|Myasthenic syndrome, congenital, 3B, fast-channel, 616322|Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 1A, slow-channel, 601462|Myasthenic syndrome, congenital, 1B, fast-channel, 608930;;;Epilepsy, nocturnal frontal lobe, 3, 605375;Lung cancer susceptibility 2, 612052|Nicotine dependence, susceptibility to, 612052;Myasthenic syndrome, congenital, 2A, slow-channel, 616313|Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314;Escobar syndrome, 265000|Multiple pterygium syndrome, lethal type, 253290
WBGene00000044	acr-5	K03F8.2	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00000045	acr-6	ZK973.5	ENSG00000080644;ENSG00000101204;ENSG00000108556;ENSG00000117971;ENSG00000120903;ENSG00000135902;ENSG00000138435;ENSG00000147432;ENSG00000147434;ENSG00000160716;ENSG00000169684;ENSG00000170175;ENSG00000196811	CHRNA3;CHRNA4;CHRNE;CHRNB4;CHRNA2;CHRND;CHRNA1;CHRNB3;CHRNA6;CHRNB2;CHRNA5;CHRNB1;CHRNG	Lung cancer susceptibility 2, 612052;Epilepsy, nocturnal frontal lobe, 1, 600513|Nicotine addiction, susceptibility to, 188890;Myasthenic syndrome, congenital, 4A, slow-channel, 605809|Myasthenic syndrome, congenital, 4B, fast-channel, 616324|Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931;;Epilepsy, nocturnal frontal lobe, type 4, 610353;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 3A, slow-channel, 616321|Myasthenic syndrome, congenital, 3B, fast-channel, 616322|Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 1A, slow-channel, 601462|Myasthenic syndrome, congenital, 1B, fast-channel, 608930;;;Epilepsy, nocturnal frontal lobe, 3, 605375;Lung cancer susceptibility 2, 612052|Nicotine dependence, susceptibility to, 612052;Myasthenic syndrome, congenital, 2A, slow-channel, 616313|Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314;Escobar syndrome, 265000|Multiple pterygium syndrome, lethal type, 253290
WBGene00000046	acr-7	T09A5.3	ENSG00000175344;ENSG00000166664	CHRNA7;CHRFAM7A	
